                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2759,                 4.5709,                 2.5595,                      0,                      0,                      0,                      0,                 2.6621,                 4.4131,                 2.2273,                      0,                      0,                      0
                      2,                  3.526,                 4.5196,                 2.6352,                      0,                      0,                      0,                      0,                 2.6694,                 4.4198,                 2.2265,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 3.8285,                 5.1963,                 2.9356,                      0,                      0,                      0,                      0,                 2.6658,                  4.422,                 2.2219,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                 3.2185,                 4.7525,                 2.6613,                      0,                      0,                      0,                      0,                 2.6677,                 4.4328,                 2.2322,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 2.7523,                 4.9751,                 2.3844,                      0,                      0,                      0,                      0,                 2.6806,                 4.4428,                 2.2442,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 3.3667,                 4.5758,                 2.5515,                      0,                      0,                      0,                      0,                 2.6792,                  4.455,                  2.204,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 3.3549,                 4.8089,                 2.5755,                      0,                      0,                      0,                      0,                 2.7083,                  4.458,                 2.2139,             0.00011857,             0.00011857,             0.00011857
                      8,                  3.096,                  4.969,                 2.5192,                      0,                      0,                      0,                      0,                 2.7201,                 4.4688,                 2.2246,             0.00013806,             0.00013806,             0.00013806
                      9,                 3.1063,                 4.4868,                 2.5554,                      0,                      0,                      0,                      0,                 2.7201,                 4.4688,                 2.2246,             0.00015747,             0.00015747,             0.00015747
                     10,                 3.5522,                 4.6635,                 2.7079,                      0,                      0,                      0,                      0,                 2.6677,                 4.3327,                 2.1474,             0.00017679,             0.00017679,             0.00017679
                     11,                 2.7669,                 4.3051,                 1.9072,                      0,                      0,                      0,                      0,                 2.6677,                 4.3327,                 2.1474,             0.00019604,             0.00019604,             0.00019604
                     12,                 2.7571,                 4.3997,                 2.0303,                      0,                      0,                      0,                      0,                 2.4821,                 4.2423,                 1.9243,             0.00021521,             0.00021521,             0.00021521
                     13,                 2.6002,                  4.735,                 1.9793,                      0,                      0,                      0,                      0,                 2.4821,                 4.2423,                 1.9243,              0.0002343,              0.0002343,              0.0002343
                     14,                  2.328,                 4.4946,                 1.8379,                      0,                      0,                      0,                      0,                 2.3365,                 4.1437,                 1.8264,             0.00025331,             0.00025331,             0.00025331
                     15,                 2.2199,                 4.0218,                 1.5868,                      0,                      0,                      0,                      0,                 2.3365,                 4.1437,                 1.8264,             0.00027224,             0.00027224,             0.00027224
                     16,                 2.5179,                 4.0234,                 1.6646,                      0,                      0,                      0,                      0,                 2.3726,                 3.9929,                 1.6971,             0.00029109,             0.00029109,             0.00029109
                     17,                 1.9605,                 4.0498,                 1.4006,                      0,                      0,                      0,                      0,                 2.3726,                 3.9929,                 1.6971,             0.00030986,             0.00030986,             0.00030986
                     18,                 2.4822,                 4.2705,                 1.5248,                0.00167,                   0.05,                0.00132,                0.00022,                 2.2053,                 3.8109,                 1.5197,             0.00032856,             0.00032856,             0.00032856
                     19,                 1.9965,                 3.8525,                 1.2927,                0.00167,                   0.05,                0.00132,                0.00022,                 2.2053,                 3.8109,                 1.5197,             0.00034717,             0.00034717,             0.00034717
                     20,                 2.5926,                 3.9221,                 1.6575,                0.00333,                    0.1,                 0.0114,                0.00342,                 2.1362,                 3.7469,                 1.4732,              0.0003657,              0.0003657,              0.0003657
                     21,                 2.1581,                 3.7107,                 1.4037,                0.00333,                    0.1,                 0.0114,                0.00342,                 2.1362,                 3.7469,                 1.4732,             0.00038416,             0.00038416,             0.00038416
                     22,                   2.41,                 3.8332,                 1.4437,                0.00333,                    0.1,                0.00677,                0.00275,                 2.0868,                 3.6892,                 1.4362,             0.00040254,             0.00040254,             0.00040254
                     23,                 2.4068,                 3.9434,                 1.5972,                0.00333,                    0.1,                0.00677,                0.00275,                 2.0868,                 3.6892,                 1.4362,             0.00042083,             0.00042083,             0.00042083
                     24,                 2.1739,                  3.867,                  1.365,                0.00333,                    0.1,                0.00677,                0.00275,                 2.0868,                 3.6892,                 1.4362,             0.00043905,             0.00043905,             0.00043905
                     25,                 2.2027,                 3.7504,                 1.4563,                0.00833,                   0.25,                0.00745,                0.00158,                 2.1062,                 3.6441,                 1.3932,             0.00045719,             0.00045719,             0.00045719
                     26,                 1.9163,                 3.6079,                 1.3009,                0.00833,                   0.25,                0.00745,                0.00158,                 2.1062,                 3.6441,                 1.3932,             0.00047525,             0.00047525,             0.00047525
                     27,                 2.1401,                 3.5051,                 1.3349,                0.00833,                   0.25,                0.00745,                0.00158,                 2.1062,                 3.6441,                 1.3932,             0.00049323,             0.00049323,             0.00049323
                     28,                 1.9053,                 3.5194,                 1.2726,                   0.01,                    0.3,                0.09778,                0.01717,                 2.0543,                 3.5888,                 1.3788,             0.00051113,             0.00051113,             0.00051113
                     29,                 1.7916,                 3.1115,                 1.2101,                   0.01,                    0.3,                0.09778,                0.01717,                 2.0543,                 3.5888,                 1.3788,             0.00052895,             0.00052895,             0.00052895
                     30,                  1.757,                 3.5471,                 1.2566,                   0.01,                    0.3,                0.09778,                0.01717,                 2.0543,                 3.5888,                 1.3788,              0.0005467,              0.0005467,              0.0005467
                     31,                 1.8036,                   3.55,                  1.315,                0.01333,                    0.4,                 0.2464,                0.07289,                 1.9513,                 3.6191,                  1.358,             0.00056436,             0.00056436,             0.00056436
                     32,                 2.0518,                 3.4061,                 1.4437,                0.01333,                    0.4,                 0.2464,                0.07289,                 1.9513,                 3.6191,                  1.358,             0.00058194,             0.00058194,             0.00058194
                     33,                 1.6775,                 2.9904,                 1.2319,                0.01333,                    0.4,                 0.2464,                0.07289,                 1.9513,                 3.6191,                  1.358,             0.00059945,             0.00059945,             0.00059945
                     34,                 1.8507,                 3.0143,                 1.2759,                  0.015,                   0.45,                 0.2456,                0.09932,                  1.795,                 3.5704,                 1.2954,             0.00061688,             0.00061688,             0.00061688
                     35,                 1.7015,                 2.7684,                 1.2154,                  0.015,                   0.45,                 0.2456,                0.09932,                  1.795,                 3.5704,                 1.2954,             0.00063422,             0.00063422,             0.00063422
                     36,                  1.851,                 2.8153,                 1.2623,                  0.015,                   0.45,                 0.2456,                0.09932,                  1.795,                 3.5704,                 1.2954,             0.00065149,             0.00065149,             0.00065149
                     37,                  1.935,                 2.8146,                  1.237,                  0.015,                   0.45,                 0.2456,                0.09932,                  1.795,                 3.5704,                 1.2954,             0.00066868,             0.00066868,             0.00066868
                     38,                 2.1485,                 2.9787,                 1.2354,                0.01667,                    0.5,                0.20401,                0.07467,                 1.7972,                 3.5962,                 1.3015,             0.00068579,             0.00068579,             0.00068579
                     39,                 1.8357,                 2.5528,                 1.2198,                0.01667,                    0.5,                0.20401,                0.07467,                 1.7972,                 3.5962,                 1.3015,             0.00070282,             0.00070282,             0.00070282
                     40,                 2.0427,                 2.8399,                 1.2614,                0.01667,                    0.5,                0.20401,                0.07467,                 1.7972,                 3.5962,                 1.3015,             0.00071977,             0.00071977,             0.00071977
                     41,                 2.0743,                 2.7374,                 1.3236,                0.01667,                    0.5,                0.20401,                0.07467,                 1.7972,                 3.5962,                 1.3015,             0.00073664,             0.00073664,             0.00073664
                     42,                 1.8019,                 2.5847,                 1.1451,                0.01333,                    0.4,                0.31486,                0.11575,                 1.7742,                 3.5737,                 1.3129,             0.00075343,             0.00075343,             0.00075343
